epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3454.72,1.17822,2.61449,0.96213,0.79817,0.69717,0.77973,0.48187,1.15752,2.38447,0.97424,0.000466779,0.000466779,0.000466779
43,3513.07,1.18325,2.62467,0.96158,0.78591,0.71805,0.78755,0.48709,1.1546,2.38162,0.96979,0.000451066,0.000451066,0.000451066
44,3573.12,1.17449,2.59057,0.95837,0.78763,0.71253,0.7862,0.48993,1.15064,2.36987,0.96874,0.000435353,0.000435353,0.000435353
45,3633.22,1.16711,2.56837,0.95532,0.78838,0.7071,0.7861,0.49112,1.15364,2.35994,0.97134,0.000419641,0.000419641,0.000419641
46,3693.44,1.16981,2.57052,0.95647,0.78931,0.71823,0.78867,0.4909,1.1495,2.35728,0.96937,0.000403928,0.000403928,0.000403928
47,3751.88,1.16776,2.56132,0.95649,0.8069,0.71604,0.7914,0.49345,1.14701,2.3453,0.96885,0.000388215,0.000388215,0.000388215
48,3812.24,1.16027,2.53023,0.95337,0.79159,0.70875,0.78935,0.49429,1.147,2.33673,0.96699,0.000372502,0.000372502,0.000372502
49,3872.33,1.15655,2.52827,0.95427,0.78732,0.72286,0.78592,0.49213,1.14064,2.33942,0.96585,0.00035679,0.00035679,0.00035679
50,3929.94,1.15611,2.50622,0.95304,0.79868,0.71723,0.79162,0.49655,1.1374,2.32678,0.96401,0.000341077,0.000341077,0.000341077
51,3990.01,1.15327,2.48571,0.95135,0.79453,0.72051,0.78971,0.50011,1.13552,2.31868,0.9635,0.000325364,0.000325364,0.000325364
52,4049.54,1.14049,2.46837,0.94974,0.7959,0.71584,0.79175,0.49915,1.13435,2.30576,0.96505,0.000309652,0.000309652,0.000309652
53,4107.43,1.14638,2.46432,0.94687,0.79352,0.72304,0.7926,0.49988,1.13289,2.30354,0.9647,0.000293939,0.000293939,0.000293939
54,4165.39,1.14362,2.47464,0.9493,0.80757,0.72148,0.79892,0.50437,1.13183,2.29856,0.96277,0.000278226,0.000278226,0.000278226
55,4225.22,1.13921,2.43819,0.94833,0.78862,0.72804,0.79405,0.50112,1.13243,2.28559,0.96415,0.000262513,0.000262513,0.000262513
56,4283.38,1.13112,2.41156,0.94344,0.80164,0.72221,0.79645,0.50728,1.12912,2.28782,0.96271,0.000246801,0.000246801,0.000246801
57,4343.04,1.13294,2.42415,0.94268,0.80214,0.73336,0.79929,0.50562,1.12731,2.27117,0.96207,0.000231088,0.000231088,0.000231088
58,4400.54,1.12429,2.39464,0.94347,0.79533,0.73223,0.79737,0.50677,1.12869,2.27571,0.96202,0.000215375,0.000215375,0.000215375
59,4458.35,1.12362,2.38543,0.94339,0.80814,0.72895,0.79848,0.50629,1.12987,2.27327,0.96177,0.000199663,0.000199663,0.000199663
60,4516.4,1.1266,2.3843,0.94148,0.81916,0.72507,0.79835,0.50776,1.12626,2.27335,0.96114,0.00018395,0.00018395,0.00018395
61,4576.87,1.10569,2.28795,0.94508,0.80868,0.72721,0.79683,0.5064,1.12821,2.27728,0.96267,0.000168237,0.000168237,0.000168237
62,4633.68,1.09365,2.24012,0.94176,0.80102,0.72604,0.79282,0.50218,1.1279,2.27706,0.96169,0.000152524,0.000152524,0.000152524
63,4690.48,1.09315,2.22307,0.93684,0.79608,0.7279,0.79382,0.50354,1.12752,2.27231,0.96168,0.000136812,0.000136812,0.000136812
64,4746.91,1.08434,2.19821,0.93718,0.80571,0.73018,0.79558,0.50552,1.125,2.26507,0.96078,0.000121099,0.000121099,0.000121099
65,4804.04,1.07978,2.18898,0.93643,0.80674,0.73216,0.79721,0.50614,1.12421,2.26145,0.9614,0.000105386,0.000105386,0.000105386
66,4860.88,1.0772,2.17599,0.93316,0.80686,0.72797,0.79675,0.50668,1.12493,2.25934,0.96105,8.96736e-05,8.96736e-05,8.96736e-05
67,4917.98,1.07856,2.17791,0.9366,0.81382,0.72532,0.79697,0.506,1.12408,2.25594,0.96068,7.39609e-05,7.39609e-05,7.39609e-05
68,4974.92,1.07313,2.15274,0.93323,0.81607,0.72617,0.79819,0.50605,1.12306,2.25537,0.96004,5.82481e-05,5.82481e-05,5.82481e-05
69,5031.85,1.06921,2.14493,0.93288,0.81732,0.72704,0.79889,0.50805,1.12124,2.25084,0.96005,4.25354e-05,4.25354e-05,4.25354e-05
70,5090.72,1.06727,2.14087,0.93147,0.814,0.73051,0.79956,0.50779,1.12085,2.25198,0.96005,2.68227e-05,2.68227e-05,2.68227e-05
